time,date,hour,temperature_2m,precipitation,cloud_cover,wind_speed_10m,is_holiday,is_vacation,has_event
2023-10-09 21:00:00,2023-10-09,21,15.0,0.0,24,7.2,0.0,0,0
2023-10-09 22:00:00,2023-10-09,22,13.9,0.0,14,9.0,0.0,0,0
2023-10-09 23:00:00,2023-10-09,23,13.6,0.0,6,7.6,0.0,0,0
2023-10-10 00:00:00,2023-10-10,0,13.0,0.0,77,7.6,0.0,0,0
2023-10-10 01:00:00,2023-10-10,1,13.0,0.0,10,7.6,0.0,0,0
2023-10-10 02:00:00,2023-10-10,2,12.1,0.0,96,7.2,0.0,0,0
2023-10-10 03:00:00,2023-10-10,3,11.4,0.0,100,6.9,0.0,0,0
2023-10-10 04:00:00,2023-10-10,4,12.2,0.0,94,4.6,0.0,0,0
2023-10-10 05:00:00,2023-10-10,5,11.3,0.0,64,3.3,0.0,0,0
2023-10-10 06:00:00,2023-10-10,6,10.2,0.0,82,6.1,0.0,0,0
2023-10-10 07:00:00,2023-10-10,7,10.0,0.0,94,8.0,0.0,0,0
2023-10-10 08:00:00,2023-10-10,8,12.6,0.0,100,5.7,0.0,0,0
2023-10-10 09:00:00,2023-10-10,9,16.4,0.0,94,8.7,0.0,0,0
2023-10-10 10:00:00,2023-10-10,10,20.1,0.0,71,7.9,0.0,0,0
2023-10-10 11:00:00,2023-10-10,11,23.0,0.0,100,9.0,0.0,0,0
2023-10-10 12:00:00,2023-10-10,12,25.0,0.0,30,11.1,0.0,0,0
2023-10-10 13:00:00,2023-10-10,13,26.1,0.0,29,10.9,0.0,0,0
2023-10-10 14:00:00,2023-10-10,14,27.0,0.0,6,11.8,0.0,0,0
2023-10-10 15:00:00,2023-10-10,15,27.3,0.0,33,12.4,0.0,0,0
2023-10-10 16:00:00,2023-10-10,16,26.9,0.0,6,10.9,0.0,0,0
2023-10-10 17:00:00,2023-10-10,17,25.1,0.0,0,7.2,0.0,0,0
2023-10-10 18:00:00,2023-10-10,18,21.8,0.0,0,8.4,0.0,0,0
2023-10-10 19:00:00,2023-10-10,19,20.1,0.0,0,10.3,0.0,0,0
